NOME DO ESTABELECIMENTO                                                                        ,MED.AVALIACOES                     ,QNT.AVALIACOES                          ,ENDERECO COMPLETO                                                                                                                                                     ,TIPO DE ESTABELECIMENTO                ,CONTATO DO ESTABELECIMENTO ,LOGRADOURO                          ,NUMERO  ,BAIRRO          ,CEP
MAIS SEMINOVOS.                                                                                ,"4,8"                              ,(60)                                    ,"AV. COELHO E CAMPOS, 894 - SANTO ANTÔNIO, ARACAJU - SE, 49060-000"                                                                                                   ,REVENDEDORA DE CARROS USADOS           ,(79) 3013-6436             ,AV. COELHO E CAMPOS                 ,894     ,SANTO ANTÔNIO   ,49060-000
A CREDI-AUTO                                                                                   ,"4,4"                              ,(52)                                    ,"AV. COELHO E CAMPOS, 130 - SANTO ANTÔNIO, ARACAJU - SE, 49055-490"                                                                                                   ,REVENDEDORA DE CARROS USADOS           ,(79) 3236-1948             ,AV. COELHO E CAMPOS                 ,130     ,SANTO ANTÔNIO   ,49055-490
"DNA MULTIMARCAS - CARROS E SEMINOVOS, VENDAS E COMPRA"                                        ,"4,2"                              ,(5)                                     ,"AV. ANÍSIO AZEVEDO, 681 - SALGADO FILHO, ARACAJU - SE, 49020-235"                                                                                                    ,CONCESSIONÁRIA                         ,(79) 99991-5590            ,AV. ANÍSIO AZEVEDO                  ,681     ,SALGADO FILHO   ,49020-235
CABEÇÃO VEÍCULOS                                                                               ,"4,4"                              ,(52)                                    ,"AV. COELHO E CAMPOS, 1123 - CENTRO, ARACAJU - SE, 49010-720"                                                                                                         ,CONCESSIONÁRIA                         ,(79) 99910-1412            ,AV. COELHO E CAMPOS                 ,1123    ,CENTRO          ,49010-720
REI DAS MULTIMARCAS                                                                            ,"4,9"                              ,(30)                                    ,"AV. PEDRO CALAZANS, 122 - GETÚLIO VARGAS, ARACAJU - SE, 49055-520"                                                                                                   ,CONCESSIONÁRIA                         ,(79) 99646-1006            ,AV. PEDRO CALAZANS                  ,122     ,GETÚLIO VARGAS  ,49055-520
PINHEIRO VEICULOS                                                                              ,"4,8"                              ,(14)                                    ,"AV. PEDRO CALAZANS, 1136 - GETÚLIO VARGAS, ARACAJU - SE, 49055-520"                                                                                                  ,CONCESSIONÁRIA                         ,(79) 99919-0367            ,AV. PEDRO CALAZANS                  ,1136    ,GETÚLIO VARGAS  ,49055-520
"HONDA SERIGY RIOMAR: CARROS NOVOS, HÍBRIDO, HRV, TROCA DE ÓLEO, ARACAJU SE"                   ,"4,5"                              ,(89)                                    ,"AVENIDA LUIZ LUA GONZAGA, 303 - COROA DO MEIO, ARACAJU - SE, 49035-500"                                                                                              ,CONCESSIONÁRIA HONDA                   ,(79) 3205-8600             ,AVENIDA LUIZ LUA GONZAGA            ,303     ,COROA DO MEIO   ,49035-500
SCUDERIA VEÍCULOS                                                                              ,"4,5"                              ,(23)                                    ,"PRAÇA DA BANDEIRA, 242 - CIRURGIA, ARACAJU - SE, 49055-090"                                                                                                          ,REVENDEDORA DE CARROS USADOS           ,(79) 3022-3084             ,PRAÇA DA BANDEIRA                   ,242     ,CIRURGIA        ,49055-090
CHEVROLET CONTORNO RIOMAR                                                                      ,"4,5"                              ,(194)                                   ,"AVENIDA LUIZ LUA GONZAGA, 250 - COROA DO MEIO, ARACAJU - SE, 49035-810"                                                                                              ,CONCESSIONÁRIA CHEVROLET               ,(79) 2105-7575             ,AVENIDA LUIZ LUA GONZAGA            ,250     ,COROA DO MEIO   ,49035-810
REPASSE GAÚCHO - VEÍCULOS SEMINOVOS - ARACAJU                                                  ,"4,3"                              ,(19)                                    ,"AV. SÃO PAULO, 200 - 18 DO FORTE, ARACAJU - SE, 49075-530"                                                                                                           ,AGENTE COMERCIAL DE CARROS             ,(79) 3024-2606             ,AV. SÃO PAULO                       ,200     ,18 DO FORTE     ,49075-530
"HONDA SERIGY MATRIZ: CARROS NOVOS, HÍBRIDO, HRV, TROCA DE ÓLEO, ARACAJU SE"                   ,"4,2"                              ,(381)                                   ,"R. SÃO CRISTÓVÃO, 1960 - GETÚLIO VARGAS, ARACAJU - SE, 49055-620"                                                                                                    ,CONCESSIONÁRIA HONDA                   ,(79) 3205-8600             ,R. SÃO CRISTÓVÃO                    ,1960    ,GETÚLIO VARGAS  ,49055-620
FENIX VEICULOS AJU                                                                             ,"4,6"                              ,(60)                                    ,"AV. PEDRO CALAZANS, 68 - SANTO ANTÔNIO, ARACAJU - SE, 49060-210"                                                                                                     ,CONCESSIONÁRIA DE VEÍCULOS MOTORIZADOS ,(79) 3214-1900             ,AV. PEDRO CALAZANS                  ,68      ,SANTO ANTÔNIO   ,49060-210
AUTOVOX-VEICULOS                                                                               ,"5,0"                              ,(49)                                    ,"AV. COELHO E CAMPOS, 738 - SANTO ANTÔNIO, ARACAJU - SE, 49060-000"                                                                                                   ,REVENDEDORA DE CARROS USADOS           ,(79) 99917-9440            ,AV. COELHO E CAMPOS                 ,738     ,SANTO ANTÔNIO   ,49060-000
PLATINUM PREMIUM CARS                                                                          ,"5,0"                              ,(8)                                     ,"RUA JUAREZ CARVALHO, 41 - JARDINS, ARACAJU - SE, 49025-370"                                                                                                          ,REVENDEDORA DE CARROS USADOS           ,(79) 99692-1000            ,RUA JUAREZ CARVALHO                 ,41      ,JARDINS         ,49025-370
RANNON AUTOMOVEIS                                                                              ,"4,7"                              ,(13)                                    ,"AV. IVO DO PRADO, 1036 - SÃO JOSÉ, ARACAJU - SE, 49015-070"                                                                                                          ,CONCESSIONÁRIA                         ,(79) 99690-0110            ,AV. IVO DO PRADO                    ,1036    ,SÃO JOSÉ        ,49015-070
GILVAN VEÍCULOS                                                                                ,"4,3"                              ,(15)                                    ,"AV. PEDRO CALAZANS, 97 - CENTRO, ARACAJU - SE, 49010-490"                                                                                                            ,CONCESSIONÁRIA                         ,(79) 99880-3222            ,AV. PEDRO CALAZANS                  ,97      ,CENTRO          ,49010-490
CAMESA AUTOMÓVEIS                                                                              ,"4,6"                              ,(48)                                    ,"AV. DES. MAYNARD, Nº 915 - PEREIRA LOBO, ARACAJU - SE, 49052-335"                                                                                                    ,REVENDEDORA DE CARROS USADOS           ,(79) 99979-7999            ,AV. DES. MAYNARD                    ,Nº      ,PEREIRA LOBO    ,49052-335
