NOME DO ESTABELECIMENTO                               ,MED.AVALIACOES                     ,QNT.AVALIACOES                          ,ENDERECO COMPLETO                                                                     ,TIPO DE ESTABELECIMENTO                      ,CONTATO DO ESTABELECIMENTO ,LOGRADOURO                                            ,NUMERO ,BAIRRO ,CEP
POSTO PETROBRAS                                       ,"4,1"                              ,(129)                                   ,"AV. SIMEÃO SOBRAL, 1179 - SANTO ANTÔNIO, ARACAJU - SE, 49060-640"                    ,POSTO DE COMBUSTÍVEL                         ,(79) 3179-2442             ,AV. SIMEÃO SOBRAL                                     ,  1179 ,       ,49060-640
POSTO SERRANO                                         ,"4,4"                              ,(56)                                    ,"AV. DR. JOSÉ DA SILVA RIBEIRO FILHO - SIQUEIRA CAMPOS, ARACAJU - SE, 49075-170"      ,POSTO DE COMBUSTÍVEL                         ,(79) 3303-8687             ,AV. DR. JOSÉ DA SILVA RIBEIRO FILHO - SIQUEIRA CAMPOS ,       ,       ,49075-170
POSTO PETROBRAS                                       ,"4,7"                              ,(13)                                    ,"AV. AUGUSTO FRANCO, 2040 - SIQUEIRA CAMPOS, ARACAJU - SE, 49075-100"                 ,POSTO DE COMBUSTÍVEL                         ,(79) 99997-2164            ,AV. AUGUSTO FRANCO                                    ,  2040 ,       ,49075-100
POSTO PETROBRAS                                       ,"3,7"                              ,(50)                                    ,"AV. ADÉLIA FRANCO, 2234 - LUZIA, ARACAJU - SE, 49048-010"                            ,POSTO DE COMBUSTÍVEL                         ,Contato não disponível     ,AV. ADÉLIA FRANCO                                     ,  2234 ,       ,49048-010
POSTO PETROBRAS                                       ,"4,4"                              ,(20)                                    ,"AV. MARANHÃO, 1554 - 18 DO FORTE, ARACAJU - SE, 49072-000"                           ,POSTO DE COMBUSTÍVEL                         ,(79) 99997-2164            ,AV. MARANHÃO                                          ,  1554 ,       ,49072-000
POSTO VASPETRO                                        ,"4,1"                              ,(17)                                    ,"AV. BARÃO DE MARUIM, 552 - CENTRO, ARACAJU - SE, 49010-340"                          ,POSTO DE COMBUSTÍVEL                         ,(79) 3222-1050             ,AV. BARÃO DE MARUIM                                   ,   552 ,       ,49010-340
REDE PRESIDENTE | TECARMO                             ,"4,3"                              ,(360)                                   ,"ROD. DOS NÁUFRAGOS, 1900 - ARUANA, ARACAJU - SE, 49008-093"                          ,POSTO DE COMBUSTÍVEL                         ,(79) 98851-4418            ,ROD. DOS NÁUFRAGOS                                    ,  1900 ,       ,49008-093
POSTO TREVO                                           ,"4,3"                              ,(351)                                   ,"AV. PRES. TANCREDO NEVES, 2551 - INÁCIO BARBOSA, ARACAJU - SE, 49095-000"            ,POSTO DE COMBUSTÍVEL                         ,(79) 3249-1115             ,AV. PRES. TANCREDO NEVES                              ,  2551 ,       ,49095-000
POSTO PETROBRAS                                       ,"4,2"                              ,(20)                                    ,"AV. PRES. TANCREDO NEVES - CAPUCHO, ARACAJU - SE, 49095-000"                         ,POSTO DE COMBUSTÍVEL                         ,Contato não disponível     ,AV. PRES. TANCREDO NEVES - CAPUCHO                    ,       ,       ,49095-000
POSTO SERRANO                                         ,"4,2"                              ,(178)                                   ,"R. SÃO CRISTÓVÃO, 1877 - GETÚLIO VARGAS, ARACAJU - SE, 49055-620"                    ,POSTO DE COMBUSTÍVEL                         ,Contato não disponível     ,R. SÃO CRISTÓVÃO                                      ,  1877 ,       ,49055-620
POSTO SHELL                                           ,"4,3"                              ,(209)                                   ,"AV. JOSÉ CARLOS SILVA, 4669 - SÃO CONRADO, ARACAJU - SE, 49030-640"                  ,POSTO DE COMBUSTÍVEL                         ,Contato não disponível     ,AV. JOSÉ CARLOS SILVA                                 ,  4669 ,       ,49030-640
POSTO RPB TANCREDO NEVES                              ,"4,5"                              ,(52)                                    ,"AV. PRES. TANCREDO NEVES - CAPUCHO, ARACAJU - SE, 49095-000"                         ,POSTO DE COMBUSTÍVEL                         ,(79) 98813-3636            ,AV. PRES. TANCREDO NEVES - CAPUCHO                    ,       ,       ,49095-000
