NOME DO ESTABELECIMENTO                                                                        ,MED.AVALIACOES                     ,QNT.AVALIACOES                          ,ENDERECO COM CEP                                                                                                                                                      ,INF.ADICIONAIS                         ,CONTATO
"HONDA SERIGY RIOMAR: CARROS NOVOS, HÍBRIDO, HRV, TROCA DE ÓLEO, ARACAJU SE"                   ,"4,5"                              ,(89)                                    ,"AVENIDA LUIZ LUA GONZAGA, 303 - COROA DO MEIO, ARACAJU - SE, 49035-500"                                                                                              ,Concessionária Honda                   ,(79) 3205-8600
SCUDERIA VEÍCULOS                                                                              ,"4,5"                              ,(23)                                    ,"PRAÇA DA BANDEIRA, 242 - CIRURGIA, ARACAJU - SE, 49055-090"                                                                                                          ,Revendedora de carros usados           ,(79) 3022-3084
CHEVROLET CONTORNO RIOMAR                                                                      ,"4,5"                              ,(194)                                   ,"AVENIDA LUIZ LUA GONZAGA, 250 - COROA DO MEIO, ARACAJU - SE, 49035-810"                                                                                              ,Concessionária Chevrolet               ,(79) 2105-7575
REPASSE GAÚCHO - VEÍCULOS SEMINOVOS - ARACAJU                                                  ,"4,3"                              ,(19)                                    ,"AV. SÃO PAULO, 200 - 18 DO FORTE, ARACAJU - SE, 49075-530"                                                                                                           ,Agente comercial de carros             ,(79) 3024-2606
"HONDA SERIGY MATRIZ: CARROS NOVOS, HÍBRIDO, HRV, TROCA DE ÓLEO, ARACAJU SE"                   ,"4,2"                              ,(381)                                   ,"R. SÃO CRISTÓVÃO, 1960 - GETÚLIO VARGAS, ARACAJU - SE, 49055-620"                                                                                                    ,Concessionária Honda                   ,(79) 3205-8600
FENIX VEICULOS AJU                                                                             ,"4,6"                              ,(60)                                    ,"AV. PEDRO CALAZANS, 68 - SANTO ANTÔNIO, ARACAJU - SE, 49060-210"                                                                                                     ,Concessionária de veículos motorizados ,(79) 3214-1900
AUTOVOX-VEICULOS                                                                               ,"5,0"                              ,(49)                                    ,"AV. COELHO E CAMPOS, 738 - SANTO ANTÔNIO, ARACAJU - SE, 49060-000"                                                                                                   ,Revendedora de carros usados           ,(79) 99917-9440
PLATINUM PREMIUM CARS                                                                          ,"5,0"                              ,(8)                                     ,"RUA JUAREZ CARVALHO, 41 - JARDINS, ARACAJU - SE, 49025-370"                                                                                                          ,Revendedora de carros usados           ,(79) 99692-1000
RANNON AUTOMOVEIS                                                                              ,"4,7"                              ,(13)                                    ,"AV. IVO DO PRADO, 1036 - SÃO JOSÉ, ARACAJU - SE, 49015-070"                                                                                                          ,Concessionária                         ,(79) 99690-0110
GILVAN VEÍCULOS                                                                                ,"4,3"                              ,(15)                                    ,"AV. PEDRO CALAZANS, 97 - CENTRO, ARACAJU - SE, 49010-490"                                                                                                            ,Concessionária                         ,(79) 99880-3222
