NOME DO ESTABELECIMENTO                                                                        ,MED.AVALIACOES                     ,QNT.AVALIACOES                          ,ENDERECO COM CEP                                                                                                                                                      ,INF.ADICIONAIS                         ,CONTATO
PLATINUM PREMIUM CARS                                                                          ,"5,0"                              ,(8)                                     ,"RUA JUAREZ CARVALHO, 41 - JARDINS, ARACAJU - SE, 49025-370"                                                                                                          ,Revendedora de carros usados           ,Contato não disponível
AUTOVOX-VEICULOS                                                                               ,"5,0"                              ,(49)                                    ,"AV. COELHO E CAMPOS, 738 - SANTO ANTÔNIO, ARACAJU - SE, 49060-000"                                                                                                   ,Revendedora de carros usados           ,(79) 99917-9440
RANNON AUTOMOVEIS                                                                              ,"4,7"                              ,(13)                                    ,"AV. IVO DO PRADO, 1036 - SÃO JOSÉ, ARACAJU - SE, 49015-070"                                                                                                          ,Concessionária                         ,"3XG3+VX São José, Aracaju - SE"
GILVAN VEÍCULOS                                                                                ,"4,3"                              ,(15)                                    ,"AV. PEDRO CALAZANS, 97 - CENTRO, ARACAJU - SE, 49010-490"                                                                                                            ,Concessionária                         ,Contato não disponível
S7VEN CAR MULTIMARCAS LTDA                                                                     ,"4,9"                              ,(28)                                    ,"AV. PEDRO CALAZANS, 594 - GETÚLIO VARGAS, ARACAJU - SE, 49055-520"                                                                                                   ,Concessionária                         ,(79) 99837-3234
CAMESA AUTOMÓVEIS                                                                              ,"4,6"                              ,(46)                                    ,"AV. DES. MAYNARD, Nº 915 - PEREIRA LOBO, ARACAJU - SE, 49052-335"                                                                                                    ,Revendedora de carros usados           ,Contato não disponível
IMPÉRIO AUTOMÓVEIS                                                                             ,"4,7"                              ,(21)                                    ,"RUA, AV. PEDRO CALAZANS, 123 - CENTRO, ARACAJU - SE, 49010-490"                                                                                                      ,Concessionária                         ,Contato não disponível
PIRES AUTOMÓVEIS                                                                               ,"4,4"                              ,(30)                                    ,"AV. CARLOS BURLAMARQUI, 684 - GETÚLIO VARGAS, ARACAJU - SE, 49055-150"                                                                                               ,Revendedora de carros usados           ,"3WVR+8V Getúlio Vargas, Aracaju - SE"
CARIRA AUTOMOVEIS                                                                              ,"4,4"                              ,(23)                                    ,"AV. COELHO E CAMPOS, 793 - 18 DO FORTE, ARACAJU - SE, 49010-720"                                                                                                     ,Revendedora de carros usados           ,Contato não disponível
FÁBIO TELES AUTOMÓVEIS                                                                         ,"4,4"                              ,(31)                                    ,"AV. PEDRO CALAZANS, 43 - CENTRO, ARACAJU - SE, 49010-490"                                                                                                            ,Concessionária                         ,Contato não disponível
